threat_id,proposed_pet,implementation_location,residual_risk,implementation_cost(L/M/H)
LNK-01,"Use unlinkable per-verification session identifiers with short TTLs instead of persistent device/account identifiers in verification calls.","Mobile Client + API Gateway + IDVerify Service","Low-Medium","M"
LNK-02,"Use per-request pseudonymous subject tokens and contractually prohibit third-party retention or cross-customer biometric correlation; rotate provider-facing identifiers per verification session.","IDVerify Service before Third-Party OCR / Face-Match API","Medium","M"
LNK-03,"Separate identity attributes from verification-event history using tokenized subject keys and logically distinct schemas; prohibit broad analytical joins by default.","PostgreSQL Datastore","Low-Medium","M"
IDN-01,"Perform face matching on-device or within a controlled confidential-computing enclave; send only the minimum derived match result where operationally feasible.","Mobile Client / trusted execution environment before third-party boundary","Low","H"
IDN-02,"Tokenize direct identifiers before persistence and store the token-to-identity mapping in a separately controlled vault or service.","IDVerify Service before PostgreSQL Datastore","Low-Medium","M"
NRP-01,"Use pseudonymous audit subject references and cryptographic integrity chaining for events rather than logging raw identity attributes.","Audit Logging Service","Low","M"
NRP-02,"Use role-scoped reviewer identifiers or periodically rotated officer pseudonyms while retaining privileged re-identification only for authorized accountability investigations.","Admin Dashboard + Audit Logging Service","Low-Medium","M"
DET-01,"Normalize API error messages, status codes, payload size, and response timing; add rate limiting and request shaping to prevent account/document existence probing.","API Gateway","Low","M"
DET-02,"Return coarse-grained client states such as pending/completed instead of exposing specific biometric, fraud, or manual-review triggers.","IDVerify Service + API Gateway response layer","Low","L"
DSC-01,"Perform client-side document cropping and redaction to remove non-required fields before upload; use ephemeral upload URLs and avoid raw image persistence at the gateway.","Mobile Client + API Gateway","Low-Medium","M"
DSC-02,"Use selective field extraction before third-party processing and prefer confidential-computing or secure-enclave processing for the OCR/face-match workload; do not transmit unrelated document regions.","IDVerify Service + Third-Party OCR boundary","Medium","H"
DSC-03,"Apply column-level tokenization for document identifiers, field-level encryption for high-risk PII, and per-field retention policies enforced through scheduled deletion jobs.","PostgreSQL Datastore","Low-Medium","M"
DSC-04,"Apply privacy-preserving structured logging: hash or tokenize subject identifiers, exclude raw biometric/document values, and use differential privacy for aggregate audit analytics.","Audit Logging Service / analytics pipeline","Low","M"
UNA-01,"Add just-in-time layered privacy notice before capture that explicitly names third-party biometric processing, destination, purpose, retention, and user rights; require affirmative progression after notice.","Mobile Client onboarding flow","Low-Medium","L"
UNA-02,"Provide an explainable manual-review notice and appeal/correction workflow; expose meaningful status without revealing fraud logic.","Mobile Client + Admin Dashboard + case management workflow","Low","M"
NCM-01,"Enforce processor-side retention through contractual deletion SLAs plus technical deletion attestations, per-request ephemeral processing, and provider-side data-use restrictions disabling model training on customer data.","Third-Party OCR / Face-Match provider integration","Medium","M"
NCM-02,"Implement privacy-policy-as-code controls for retention, deletion, access review, and purpose-bound fields; add automated compliance tests in CI/CD.","IDVerify Service + PostgreSQL + Audit Logging Service","Low-Medium","H"
