Rule ID,Title,Severity,STIG Category,Risk Rating,Description
xccdf_org.ssgproject.content_rule_package_aide_installed,Install AIDE,medium,CAT II,Medium,The aide package can be installed with the following command: $ apt-get install aide
xccdf_org.ssgproject.content_rule_aide_build_database,Build and Test AIDE Database,medium,CAT II,Medium,"Run the following command to generate a new database: $ sudo aideinit By default, the database will be written to the file /var/lib/aide/aide.db.new. Storing the database, the configuration file /etc/aide.conf, and the binary /usr/bin/aide (or hashes of these files), in a secure location (such as on read-only media) provides additional assurance about their integrity. The newly-generated database can be installed as follows: $ sudo cp /var/lib/aide/aide.db.new /var/lib/aide/aide.db To initiate a manual check, run the following command: $ sudo /usr/bin/aide --check If this check produces any unexpected output, investigate."
xccdf_org.ssgproject.content_rule_aide_check_audit_tools,Configure AIDE to Verify the Audit Tools,medium,CAT II,Medium,The operating system file integrity tool must be configured to protect the integrity of the audit tools.
xccdf_org.ssgproject.content_rule_aide_disable_silentreports,Configure AIDE To Notify Personnel if Baseline Configurations Are Altered,medium,CAT II,Medium,The operating system file integrity tool must be configured to notify designated personnel of any changes to configurations.
xccdf_org.ssgproject.content_rule_aide_periodic_cron_checking,Configure Periodic Execution of AIDE,medium,CAT II,Medium,"At a minimum, AIDE should be configured to run a weekly scan. To implement a daily execution of AIDE at 4:05am using cron, add the following line to /etc/crontab: 05 4 * * * root /usr/bin/aide --config /etc/aide/aide.conf --check To implement a weekly execution of AIDE at 4:05am using cron, add the following line to /etc/crontab: 05 4 * * 0 root /usr/bin/aide --config /etc/aide/aide.conf --check AIDE can be executed periodically through other means; this is merely one example. The usage of cron's special time codes, such as @daily and @weekly is acceptable."
xccdf_org.ssgproject.content_rule_is_fips_mode_enabled,Verify '/proc/sys/crypto/fips_enabled' exists,high,CAT I,High,"On a system where FIPS 140-2 mode is enabled, /proc/sys/crypto/fips_enabled must exist. To verify FIPS mode, run the following command: cat /proc/sys/crypto/fips_enabled"
xccdf_org.ssgproject.content_rule_dconf_gnome_lock_screen_on_smartcard_removal,Enable the GNOME3 Screen Locking On Smartcard Removal,medium,CAT II,Medium,"In the default graphical environment, screen locking on smartcard removal can be enabled by setting removal-action to 'lock-screen'. To enable, add or edit removal-action to /etc/dconf/db/local.d/00-security-settings. For example: [org/gnome/settings-daemon/peripherals/smartcard] removal-action='lock-screen' Once the setting has been added, add a lock to /etc/dconf/db/local.d/locks/00-security-settings-lock to prevent user modification. For example: /org/gnome/settings-daemon/peripherals/smartcard/removal-action After the settings have been set, run dconf update."
xccdf_org.ssgproject.content_rule_dconf_gnome_disable_automount_open,Disable GNOME3 Automount Opening,medium,CAT II,Medium,"The system's default desktop environment, GNOME3, will mount devices and removable media (such as DVDs, CDs and USB flash drives) whenever they are inserted into the system. To disable automount-open within GNOME3, add or set automount-open to false in /etc/dconf/db/gdm.d/00-security-settings. For example: [org/gnome/desktop/media-handling] automount-open=false Once the settings have been added, add a lock to /etc/dconf/db/gdm.d/locks/00-security-settings-lock to prevent user modification. For example: /org/gnome/desktop/media-handling/automount-open After the settings have been set, run dconf update."
xccdf_org.ssgproject.content_rule_dconf_gnome_disable_autorun,Disable GNOME3 Automount running,low,CAT III,Low,"The system's default desktop environment, GNOME3, will mount devices and removable media (such as DVDs, CDs and USB flash drives) whenever they are inserted into the system. To disable autorun-never within GNOME3, add or set autorun-never to true in /etc/dconf/db/gdm.d/00-security-settings. For example: [org/gnome/desktop/media-handling] autorun-never=true Once the settings have been added, add a lock to /etc/dconf/db/gdm.d/locks/00-security-settings-lock to prevent user modification. For example: /org/gnome/desktop/media-handling/autorun-never After the settings have been set, run dconf update."
xccdf_org.ssgproject.content_rule_dconf_gnome_screensaver_idle_delay,Set GNOME3 Screensaver Inactivity Timeout,medium,CAT II,Medium,"The idle time-out value for inactivity in the GNOME3 desktop is configured via the idle-delay setting must be set under an appropriate configuration file(s) in the /etc/dconf/db/gdm.d directory and locked in /etc/dconf/db/gdm.d/locks directory to prevent user modification. For example, to configure the system for a 15 minute delay, add the following to /etc/dconf/db/gdm.d/00-security-settings: [org/gnome/desktop/session] idle-delay=uint32 900"
xccdf_org.ssgproject.content_rule_dconf_gnome_screensaver_lock_delay,Set GNOME3 Screensaver Lock Delay After Activation Period,medium,CAT II,Medium,"To activate the locking delay of the screensaver in the GNOME3 desktop when the screensaver is activated, add or set lock-delay to uint32 in /etc/dconf/db/gdm.d/00-security-settings. For example: [org/gnome/desktop/screensaver] lock-delay=uint32 After the settings have been set, run dconf update."
xccdf_org.ssgproject.content_rule_dconf_gnome_screensaver_lock_enabled,Enable GNOME3 Screensaver Lock After Idle Period,medium,CAT II,Medium,"To activate locking of the screensaver in the GNOME3 desktop when it is activated, add or set lock-enabled to true in /etc/dconf/db/gdm.d/00-security-settings. For example: [org/gnome/desktop/screensaver] lock-enabled=true Once the settings have been added, add a lock to /etc/dconf/db/gdm.d/locks/00-security-settings-lock to prevent user modification. For example: /org/gnome/desktop/screensaver/lock-enabled After the settings have been set, run dconf update."
xccdf_org.ssgproject.content_rule_dconf_gnome_screensaver_mode_blank,Implement Blank Screensaver,medium,CAT II,Medium,"To set the screensaver mode in the GNOME3 desktop to a blank screen, add or set picture-uri to string '' in /etc/dconf/db/gdm.d/00-security-settings. For example: [org/gnome/desktop/screensaver] picture-uri=string '' Once the settings have been added, add a lock to /etc/dconf/db/gdm.d/locks/00-security-settings-lock to prevent user modification. For example: /org/gnome/desktop/screensaver/picture-uri After the settings have been set, run dconf update."
xccdf_org.ssgproject.content_rule_dconf_gnome_disable_ctrlaltdel_reboot,Disable Ctrl-Alt-Del Reboot Key Sequence in GNOME3,high,CAT I,High,"By default, GNOME will reboot the system if the Ctrl-Alt-Del key sequence is pressed. To configure the system to ignore the Ctrl-Alt-Del key sequence from the Graphical User Interface (GUI) instead of rebooting the system, add or set logout to [''] in /etc/dconf/db/local.d/00-security-settings. For example: [org/gnome/settings-daemon/plugins/media-keys] logout=[''] Once the settings have been added, add a lock to /etc/dconf/db/local.d/locks/00-security-settings-lock to prevent user modification. For example: /org/gnome/settings-daemon/plugins/media-keys/logout After the settings have been set, run dconf update."
xccdf_org.ssgproject.content_rule_sudo_remove_nopasswd,Ensure Users Re-Authenticate for Privilege Escalation - sudo NOPASSWD,medium,CAT II,Medium,"The sudo NOPASSWD tag, when specified, allows a user to execute commands using sudo without having to authenticate. This should be disabled by making sure that the NOPASSWD tag does not exist in /etc/sudoers configuration file or any sudo configuration snippets in /etc/sudoers.d/."
xccdf_org.ssgproject.content_rule_sudo_require_authentication,Ensure Users Re-Authenticate for Privilege Escalation - sudo,medium,CAT II,Medium,"The sudo NOPASSWD and !authenticate option, when specified, allows a user to execute commands using sudo without having to authenticate. This should be disabled by making sure that NOPASSWD and/or !authenticate do not exist in /etc/sudoers configuration file or any sudo configuration snippets in /etc/sudoers.d/."""
xccdf_org.ssgproject.content_rule_clean_components_post_updating,Ensure apt_get Removes Previous Package Versions,low,CAT III,Low,"apt_get should be configured to remove previous software components after new versions have been installed. To configure apt_get to remove the previous software components after updating, set the ::Remove-Unused-Dependencies and ::Remove-Unused-Kernel-Packages to true in /etc/apt/apt.conf."
xccdf_org.ssgproject.content_rule_banner_etc_issue_net,Modify the System Login Banner for Remote Connections,medium,CAT II,Medium,"To configure the system login banner edit /etc/issue.net. Replace the default text with a message compliant with the local site policy or a legal disclaimer. The DoD required text is either: You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only. By using this IS (which includes any device attached to this IS), you consent to the following conditions: -The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations. -At any time, the USG may inspect and seize data stored on this IS. -Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose. -This IS includes security measures (e.g., authentication and access controls) to protect USG interests -- not for your personal benefit or privacy. -Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details. OR: I've read & consent to terms in IS user agreem't."
