group,framework,question_code,question,answer_0,answer_1,answer_2,answer_3,answer_4
Governance,NIST SP 800-161,GOV01,"Does your organization maintain a documented supply chain or third-party risk management policy?","No / Not Implemented","Planned","Partially Implemented","Mostly Implemented","Fully Implemented"
Governance,NIST SP 800-161,GOV02,"Are roles and responsibilities for managing third-party cybersecurity risk formally assigned?","No / Not Implemented","Planned","Partially Implemented","Mostly Implemented","Fully Implemented"
Governance,NIST SP 800-161,GOV03,"Are third-party security risks periodically reviewed and reported to appropriate management?","No / Not Implemented","Planned","Partially Implemented","Mostly Implemented","Fully Implemented"
Access & Data Handling,ISO 27036-3,DATA01,"Is sensitive customer data encrypted both at rest and in transit?","No / Not Implemented","Planned","Partially Implemented","Mostly Implemented","Fully Implemented"
Access & Data Handling,ISO 27036-3,DATA02,"Is access to customer systems and data controlled using role-based access and least privilege?","No / Not Implemented","Planned","Partially Implemented","Mostly Implemented","Fully Implemented"
Access & Data Handling,ISO 27036-3,DATA03,"Are privileged and sensitive accounts protected using multi-factor authentication?","No / Not Implemented","Planned","Partially Implemented","Mostly Implemented","Fully Implemented"
Incident Response,NIST SP 800-161,IR01,"Does your organization maintain a documented incident response plan covering customer-impacting security incidents?","No / Not Implemented","Planned","Partially Implemented","Mostly Implemented","Fully Implemented"
Incident Response,NIST SP 800-161,IR02,"Is the incident response plan tested through exercises or simulations at least annually?","No / Not Implemented","Planned","Partially Implemented","Mostly Implemented","Fully Implemented"
Incident Response,NIST SP 800-161,IR03,"Are contractual notification timelines defined for security incidents affecting customer systems or data?","No / Not Implemented","Planned","Partially Implemented","Mostly Implemented","Fully Implemented"
Subcontractor Management,ISO 27036-2,SUB01,"Are subcontractors or fourth parties with access to customer systems or data formally identified and disclosed?","No / Not Implemented","Planned","Partially Implemented","Mostly Implemented","Fully Implemented"
Subcontractor Management,ISO 27036-2,SUB02,"Are subcontractors subject to security due diligence before receiving access to customer information or systems?","No / Not Implemented","Planned","Partially Implemented","Mostly Implemented","Fully Implemented"
Subcontractor Management,ISO 27036-2,SUB03,"Are security requirements contractually flowed down to applicable subcontractors and fourth parties?","No / Not Implemented","Planned","Partially Implemented","Mostly Implemented","Fully Implemented"
Business Continuity,NIST SP 800-161,BCP01,"Does your organization maintain documented business continuity and disaster recovery plans?","No / Not Implemented","Planned","Partially Implemented","Mostly Implemented","Fully Implemented"
Business Continuity,NIST SP 800-161,BCP02,"Are business continuity and disaster recovery capabilities tested at least annually?","No / Not Implemented","Planned","Partially Implemented","Mostly Implemented","Fully Implemented"
Business Continuity,NIST SP 800-161,BCP03,"Are recovery objectives defined for services supporting critical customers?","No / Not Implemented","Planned","Partially Implemented","Mostly Implemented","Fully Implemented"
