threat_id,gdpr_article,gdpr_principle,pdpl_reference,compliance_gap_description
LNK-01,"Art. 5(1)(b),(c); Art. 25","Purpose limitation; Data minimization; Data protection by design/default","UAE PDPL Art. 5; KSA PDPL Art. 11","Persistent device or account identifiers may enable cross-session profiling beyond the identity-verification purpose. Minimize persistent correlation identifiers and use short-lived per-session tokens."
LNK-02,"Art. 5(1)(b),(c); Art. 9; Art. 25; Art. 35","Purpose limitation; Data minimization; Special-category protection; Privacy by design; DPIA","UAE PDPL Arts. 5, 22-23; KSA PDPL Arts. 11, 13, 29; KSA sensitive-data rules","Selfie and facial matching may allow a third-party processor to correlate biometric submissions across sessions or customers. Because facial data is processed to establish identity, GDPR Art. 9 and equivalent sensitive-data safeguards must be evaluated explicitly."
LNK-03,"Art. 5(1)(b),(c),(e); Art. 25","Purpose limitation; Data minimization; Storage limitation","UAE PDPL Art. 5; KSA PDPL Art. 11","Combining identity attributes, verification history, and account references in one datastore creates unnecessary linkability and profiling risk unless attributes and retention are tightly partitioned."
IDN-01,"Art. 5(1)(c),(f); Art. 9; Art. 25; Art. 32; Art. 35","Data minimization; Integrity/confidentiality; Special-category protection; Privacy by design; Security; DPIA","UAE PDPL Arts. 5, 20, 22-23; KSA PDPL Arts. 11, 13, 19, 29; KSA sensitive-data rules","Full ID images and selfies sent to the external ML provider directly identify the user. Facial data used for face matching is biometric data processed for unique identification and therefore falls within GDPR Art. 9."
IDN-02,"Art. 5(1)(c),(e),(f); Art. 25; Art. 32","Data minimization; Storage limitation; Integrity/confidentiality; Privacy by design; Security","UAE PDPL Arts. 5, 20; KSA PDPL Arts. 11, 19","Storing extracted PII with application identifiers makes re-identification trivial. Separate identity attributes from operational identifiers and minimize retention."
NRP-01,"Art. 5(1)(b),(c),(e); Art. 25","Purpose limitation; Data minimization; Storage limitation; Privacy by design","UAE PDPL Art. 5; KSA PDPL Arts. 11-13","Audit logs may create stronger attribution and behavioral evidence than accountability requires. Logs should preserve necessary accountability while minimizing long-lived directly identifying references."
NRP-02,"Art. 5(1)(b),(c),(e); Art. 25","Purpose limitation; Data minimization; Storage limitation","UAE PDPL Art. 5; KSA PDPL Art. 11","Persistently recording named compliance officers for every decision can create an excessive employee-behavior history. Use role-based or pseudonymous audit identifiers where legally and operationally acceptable."
DET-01,"Art. 5(1)(a),(c),(f); Art. 25; Art. 32","Fairness/transparency; Data minimization; Integrity/confidentiality; Privacy by design; Security","UAE PDPL Arts. 5, 20; KSA PDPL Arts. 11, 19","Response timing or error differences may disclose whether a person has an account or has previously submitted identity documents. Normalize errors, timing, and response size."
DET-02,"Art. 5(1)(a),(c),(f); Art. 25; Art. 32","Fairness; Data minimization; Confidentiality; Privacy by design; Security","UAE PDPL Arts. 5, 20; KSA PDPL Arts. 11, 19","Detailed verification outcomes may expose fraud or biometric-review status to parties that only need a generic onboarding result."
DSC-01,"Art. 5(1)(c),(f); Art. 9; Art. 25; Art. 32; Art. 35","Data minimization; Integrity/confidentiality; Special-category protection; Privacy by design; Security; DPIA","UAE PDPL Arts. 5, 20; KSA PDPL Arts. 11, 19; KSA sensitive-data rules","Collecting and transmitting complete ID images and selfies increases disclosure impact. Where facial comparison is used to uniquely identify the subject, the selfie-processing path must be treated as special-category biometric processing."
DSC-02,"Art. 5(1)(b),(c),(f); Art. 9; Art. 25; Art. 32; Art. 35","Purpose limitation; Data minimization; Integrity/confidentiality; Special-category protection; Privacy by design; Security; DPIA","UAE PDPL Arts. 5, 20, 22-23; KSA PDPL Arts. 11, 13, 19, 29; KSA sensitive-data rules","Sending full-resolution documents and selfies to a third-party OCR/face-match provider may exceed what is necessary. Cross-border destination, processor purpose, retention, and onward use require explicit assessment."
DSC-03,"Art. 5(1)(c),(e),(f); Art. 25; Art. 32","Data minimization; Storage limitation; Integrity/confidentiality; Privacy by design; Security","UAE PDPL Arts. 5, 20; KSA PDPL Arts. 11, 19","The primary datastore may retain extracted PII and verification results longer or more broadly than required. Enforce field-level retention, access segmentation, and deletion."
