threat_id,dfd_element,linddun_category,threat_description,attacker_capability,affected_data
LNK-01,"Mobile Client -> API Gateway: ID image + selfie","Linking","A stable account or device context can allow repeated identity-verification attempts to be linked across sessions, enabling behavioral profiling beyond the immediate onboarding purpose.","Observer or service operator able to correlate persistent identifiers, session metadata, device attributes, or repeated verification events.","Account identifier; device metadata; session identifiers; verification timestamps"
LNK-02,"IDVerify Service -> Third-Party OCR / Face-Match API","Linking","The third-party provider may correlate selfie and identity-document submissions from the same person across repeated checks or across multiple customers if persistent identifiers or biometric templates are retained.","Third-party processor with access to request metadata, biometric inputs, retained templates, or customer identifiers.","Selfie; face template; ID image; extracted identity attributes; request metadata"
LNK-03,"PostgreSQL Datastore","Linking","Centralized storage of identity attributes, verification outcomes, account references, and timestamps can enable linkage of previously separate personal-data sets into a richer individual profile.","Database administrator, compromised application account, insider, or attacker with query access.","Name; document number; DOB; nationality; verification history; account reference"
IDN-01,"IDVerify Service -> Third-Party OCR / Face-Match API","Identifying","A selfie or identity-document image can directly reveal or permit inference of the natural person's identity even if an application-level user identifier is pseudonymous.","Third-party provider, attacker intercepting plaintext inside the recipient environment, or compromised processor account.","Face image; passport or national ID image; name; document number"
IDN-02,"PostgreSQL Datastore","Identifying","Extracted PII stored together with verification status can allow a pseudonymous application record to be resolved to a named individual.","Database reader able to access identity attributes and application identifiers.","Full name; Emirates ID/passport number; date of birth; user/account identifier"
NRP-01,"Audit Logging Service","Non-repudiation","Detailed immutable audit records tying a specific officer or user to an identity-verification action may create excessive proof of behavior beyond what is necessary for accountability, reducing the individual's ability to plausibly deny actions.","Compliance administrator, insider, investigator, or party with access to detailed logs.","Officer identity; user reference; timestamp; verification action; decision"
NRP-02,"Admin Dashboard -> IDVerify Service: review decision","Non-repudiation","Persistently binding a compliance officer identity to every review decision can create an unnecessary long-term behavioral record if less identifying accountability evidence would suffice.","Administrator or auditor with dashboard and audit-log access.","Officer identifier; review decision; case identifier; timestamp"
DET-01,"Mobile Client -> API Gateway","Detecting","Differences in response codes, response size, or timing may reveal whether an identity or account already exists or whether a document has previously been submitted.","Remote unauthenticated or low-privilege attacker capable of sending repeated API requests and measuring responses.","Account existence; onboarding status; document registration status"
DET-02,"API Gateway -> Mobile Client: verification result","Detecting","Distinct rejected, approved, and manual-review responses may expose sensitive facts about whether a user triggered fraud, biometric, or document-validation rules.","Remote observer, malicious client, or user able to compare detailed response behavior.","Verification outcome; manual-review status; fraud indicators"
DSC-01,"Mobile Client -> API Gateway: ID image + selfie","Data Disclosure","The client transmits complete identity-document and facial images even when downstream processing may require only a subset of attributes, creating excessive collection and exposure.","Compromised client, network-adjacent attacker under failed transport protection, backend insider, or service compromise.","Full ID image; selfie; document metadata; facial characteristics"
DSC-02,"IDVerify Service -> Third-Party OCR / Face-Match API","Data Disclosure","Full-resolution identity documents and selfies may be disclosed to the external ML provider even where on-device preprocessing or field minimization could reduce the information shared.","Third-party provider, processor insider, compromised third-party tenant, or external attacker.","ID image; face image; biometric-derived information; document number; DOB; nationality"
DSC-03,"PostgreSQL Datastore","Data Disclosure","The datastore retains extracted PII and verification status in a form accessible to the application even after the onboarding decision no longer requires all raw attributes.","Database administrator, compromised service identity, application vulnerability, or insider.","Extracted PII; document identifiers; verification status; biometric-related results"
DSC-04,"Audit Logging Service","Data Disclosure","Audit events may copy personal identifiers or biometric-processing metadata into a secondary store, creating an unnecessary duplicate dataset with a longer retention period.","Logging administrator, SIEM user, attacker with log-store access, or downstream analytics consumer.","User identifier; document reference; IP address; verification event; match score; timestamps"
UNA-01,"Mobile Client -> IDVerify Service -> Third-Party OCR / Face-Match API","Unawareness/Unintervenability","The individual may not understand that their selfie and identity document leave the fintech trust boundary and are processed by a third-party ML provider.","System operator or processor benefiting from insufficient transparency; threat arises from design rather than technical compromise.","Selfie; ID image; biometric processing; third-party recipient identity"
UNA-02,"Admin Dashboard / Manual Review","Unawareness/Unintervenability","A user may not know that an automated verification outcome triggered human review or may lack a practical mechanism to contest an incorrect biometric or OCR result.","System operator with insufficient notice, appeal, or correction workflow.","Verification result; match score; extracted identity attributes; reviewer decision"
NCM-01,"Third-Party OCR / Face-Match API","Non-compliance","The external processor may retain submitted identity images, biometric-derived data, or telemetry beyond the documented purpose or retention period, conflicting with minimization and storage-limitation requirements.","Third-party processor with technical ability to retain inputs, outputs, logs, or derived models.","Selfie; ID image; face template; extracted PII; service telemetry"
NCM-02,"IDVerify Service / PostgreSQL / Audit Logging Service","Non-compliance","The architecture may lack enforceable retention, deletion, purpose-limitation, access-review, and privacy-default controls across primary data and secondary audit stores.","System owner, administrator, or engineering process lacking automated governance controls.","All identity-verification personal data and audit records"
